Subject,Predicate,Object
9BA586780AC4010DC8A600029E2F500B,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
9BA586780AC4010DC8A600029E2F500B,has_category,E190EC16297AEC9837613F5F6E3A383D
9BA586780AC4010DC8A600029E2F500B,has_country,989EEF92F2A525DD896557425EA7C4C7
9BA586780AC4010DC8A600029E2F500B,has_title,C5C3F4F917814A68E4D9E10F4A50EB9D 30A7DAAF928071F7E6C70A83F50964E3
7D3811E179759FD89DAF54BA38138579,has_product_price,289.99
7D3811E179759FD89DAF54BA38138579,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
7D3811E179759FD89DAF54BA38138579,has_category,E190EC16297AEC9837613F5F6E3A383D
7D3811E179759FD89DAF54BA38138579,has_country,989EEF92F2A525DD896557425EA7C4C7
7D3811E179759FD89DAF54BA38138579,has_title,FBF90AB5CDA3EB686A496A41F448976C 49662D783AAB43328076C06B9A051670
E0B4AFB075F58141E77AE8C6447298C2,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
E0B4AFB075F58141E77AE8C6447298C2,has_category,E190EC16297AEC9837613F5F6E3A383D
E0B4AFB075F58141E77AE8C6447298C2,has_country,989EEF92F2A525DD896557425EA7C4C7
E0B4AFB075F58141E77AE8C6447298C2,has_title,38DFBE3D9363597073AF753BC3237AC2 30A7DAAF928071F7E6C70A83F50964E3
F73770FD5D6EC9CBF56EFA9222B76227,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
F73770FD5D6EC9CBF56EFA9222B76227,has_category,E190EC16297AEC9837613F5F6E3A383D
F73770FD5D6EC9CBF56EFA9222B76227,has_country,989EEF92F2A525DD896557425EA7C4C7
F73770FD5D6EC9CBF56EFA9222B76227,has_title,F316C39E4572BD3AA784AE4F7202200D 30A7DAAF928071F7E6C70A83F50964E3
91243982BF105D19DD273E9379B180EF,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
91243982BF105D19DD273E9379B180EF,has_category,E190EC16297AEC9837613F5F6E3A383D
91243982BF105D19DD273E9379B180EF,has_country,989EEF92F2A525DD896557425EA7C4C7
91243982BF105D19DD273E9379B180EF,has_title,5C5D19C45627AB59C871C986171D4BEA 30A7DAAF928071F7E6C70A83F50964E3
21C2169A0554958E52C16E1273B41500,has_product_price,78.32
21C2169A0554958E52C16E1273B41500,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
21C2169A0554958E52C16E1273B41500,has_category,E190EC16297AEC9837613F5F6E3A383D
21C2169A0554958E52C16E1273B41500,has_country,989EEF92F2A525DD896557425EA7C4C7
21C2169A0554958E52C16E1273B41500,has_title,8CDD7E2FB530D08AC927E43E9B89FEA5 30A7DAAF928071F7E6C70A83F50964E3
5D9A7D517C014318A7825E1C3EED5523,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
5D9A7D517C014318A7825E1C3EED5523,has_category,E190EC16297AEC9837613F5F6E3A383D
5D9A7D517C014318A7825E1C3EED5523,has_country,989EEF92F2A525DD896557425EA7C4C7
5D9A7D517C014318A7825E1C3EED5523,has_title,AEFEF011647A382FB47F49B38FD677C9 B74C3DFF98056886C81A494DEFF81426 30A7DAAF928071F7E6C70A83F50964E3
E14F197CA429D3C6B787A4EAFF481ACE,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
E14F197CA429D3C6B787A4EAFF481ACE,has_category,E190EC16297AEC9837613F5F6E3A383D
E14F197CA429D3C6B787A4EAFF481ACE,has_country,989EEF92F2A525DD896557425EA7C4C7
E14F197CA429D3C6B787A4EAFF481ACE,has_title,30A7DAAF928071F7E6C70A83F50964E3 93B81C141F49A9CAF45883C6665E0286
575FE62286EB18B023E587FAFEEC70B3,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
575FE62286EB18B023E587FAFEEC70B3,has_category,10945E252A33A6E99790273CA8BB1B6C
575FE62286EB18B023E587FAFEEC70B3,has_country,989EEF92F2A525DD896557425EA7C4C7
575FE62286EB18B023E587FAFEEC70B3,has_title,4F8DCB0DA1EF563607A600C2633E00E0 25576A82335EA485A00E3FCBF26656F3 D9285967248ABA7E6EF2FA87D511BE47
E187DB4412C07B2F14D6F46557DF2BE6,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
E187DB4412C07B2F14D6F46557DF2BE6,has_category,E190EC16297AEC9837613F5F6E3A383D
E187DB4412C07B2F14D6F46557DF2BE6,has_country,989EEF92F2A525DD896557425EA7C4C7
E187DB4412C07B2F14D6F46557DF2BE6,has_title,30A7DAAF928071F7E6C70A83F50964E3 62B5FB10F359BE93312B706074A75B29 2596415DEFA51BA974C68691DC04CE72
3D97228C55632E2384A078E186619B4A,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
3D97228C55632E2384A078E186619B4A,has_category,E190EC16297AEC9837613F5F6E3A383D
3D97228C55632E2384A078E186619B4A,has_country,989EEF92F2A525DD896557425EA7C4C7
3D97228C55632E2384A078E186619B4A,has_title,2C9F2A92900AB4F72AF0DF9C7830B231 27C862D5E7A514D7D229FB3DD153D5AD 30A7DAAF928071F7E6C70A83F50964E3
E71EA5CBE10556E6094E12AEFD098268,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
E71EA5CBE10556E6094E12AEFD098268,has_category,E190EC16297AEC9837613F5F6E3A383D
E71EA5CBE10556E6094E12AEFD098268,has_country,989EEF92F2A525DD896557425EA7C4C7
E71EA5CBE10556E6094E12AEFD098268,has_title,0F086F52DF453FAC016B44F2DEC0C3E7 30A7DAAF928071F7E6C70A83F50964E3
7C676034D8C529E043473700D992EC02,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
7C676034D8C529E043473700D992EC02,has_category,E190EC16297AEC9837613F5F6E3A383D
7C676034D8C529E043473700D992EC02,has_country,989EEF92F2A525DD896557425EA7C4C7
7C676034D8C529E043473700D992EC02,has_title,30A7DAAF928071F7E6C70A83F50964E3
2AA1B70E93170BD4F01EFE40A7D4F0BB,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
2AA1B70E93170BD4F01EFE40A7D4F0BB,has_category,E190EC16297AEC9837613F5F6E3A383D
2AA1B70E93170BD4F01EFE40A7D4F0BB,has_country,989EEF92F2A525DD896557425EA7C4C7
2AA1B70E93170BD4F01EFE40A7D4F0BB,has_title,04D27B09761E929D47A95A5506F37DBE 30A7DAAF928071F7E6C70A83F50964E3
3338DD585C7E3546C45FBBA4BA2890CD,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
3338DD585C7E3546C45FBBA4BA2890CD,has_category,E190EC16297AEC9837613F5F6E3A383D
3338DD585C7E3546C45FBBA4BA2890CD,has_country,989EEF92F2A525DD896557425EA7C4C7
3338DD585C7E3546C45FBBA4BA2890CD,has_title,8A2F0667A5A63F42E2EE05A38DC02E29 30A7DAAF928071F7E6C70A83F50964E3 9706E9801E0C36461CA4B8E443E35984 1F81D0EECCDD22ACFFA0599F14BFAA25
D3B5DFF121979317C218AF44ADC6D98D,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
D3B5DFF121979317C218AF44ADC6D98D,has_category,E190EC16297AEC9837613F5F6E3A383D
D3B5DFF121979317C218AF44ADC6D98D,has_country,989EEF92F2A525DD896557425EA7C4C7
D3B5DFF121979317C218AF44ADC6D98D,has_title,EF39B467818E18F0BE434B2AA07A79C0 7B68514489C2DEF074E7167FC8ADF3CB
A0AFF4F98FE8B0CD4D75E35D21C66DB6,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
A0AFF4F98FE8B0CD4D75E35D21C66DB6,has_category,E190EC16297AEC9837613F5F6E3A383D
A0AFF4F98FE8B0CD4D75E35D21C66DB6,has_country,989EEF92F2A525DD896557425EA7C4C7
A0AFF4F98FE8B0CD4D75E35D21C66DB6,has_title,7F682582DB73DA073DAEE558958CB261 88D1467BD39F3DB982FFAE7AAB18AC09
7660C3252CD62182277CFDF3478AA1DE,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
7660C3252CD62182277CFDF3478AA1DE,has_category,E190EC16297AEC9837613F5F6E3A383D
7660C3252CD62182277CFDF3478AA1DE,has_country,989EEF92F2A525DD896557425EA7C4C7
7660C3252CD62182277CFDF3478AA1DE,has_title,F6EB91CA72F0F836630708CFF70B090B 30A7DAAF928071F7E6C70A83F50964E3
0AE258FEFA4ED05442B964782B77169F,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
0AE258FEFA4ED05442B964782B77169F,has_category,E190EC16297AEC9837613F5F6E3A383D
0AE258FEFA4ED05442B964782B77169F,has_country,989EEF92F2A525DD896557425EA7C4C7
0AE258FEFA4ED05442B964782B77169F,has_title,858FB2BC3E1CA7926FDD763F83B0A8BE 30A7DAAF928071F7E6C70A83F50964E3 93B81C141F49A9CAF45883C6665E0286
D3B5DFF121979317C218AF44ADC6D98D,has_product_price,24.5
F3D09DE1E67AFE13385D9A94B4C0ECF9,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
F3D09DE1E67AFE13385D9A94B4C0ECF9,has_category,E190EC16297AEC9837613F5F6E3A383D
F3D09DE1E67AFE13385D9A94B4C0ECF9,has_country,989EEF92F2A525DD896557425EA7C4C7
F3D09DE1E67AFE13385D9A94B4C0ECF9,has_title,3BC3E698E052ED76F1AE560F0DD8AD3B 30A7DAAF928071F7E6C70A83F50964E3
1F991CDF9FF846DB44AF2C3D6AC588DF,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
1F991CDF9FF846DB44AF2C3D6AC588DF,has_category,10945E252A33A6E99790273CA8BB1B6C
1F991CDF9FF846DB44AF2C3D6AC588DF,has_country,989EEF92F2A525DD896557425EA7C4C7
1F991CDF9FF846DB44AF2C3D6AC588DF,has_title,4F8DCB0DA1EF563607A600C2633E00E0 048D052E994D98F7590CB996AE730DBB
07CD085430544EEBD11FE3116267D2DD,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
07CD085430544EEBD11FE3116267D2DD,has_category,E190EC16297AEC9837613F5F6E3A383D
07CD085430544EEBD11FE3116267D2DD,has_country,989EEF92F2A525DD896557425EA7C4C7
07CD085430544EEBD11FE3116267D2DD,has_title,B66BB763BE7FECDE01D379184F43CA1D 30A7DAAF928071F7E6C70A83F50964E3
5D9A7D517C014318A7825E1C3EED5523,has_product_price,28.99
4E02DB8E8DFFE4B2AE02D5C466BD2CCE,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
4E02DB8E8DFFE4B2AE02D5C466BD2CCE,has_category,E190EC16297AEC9837613F5F6E3A383D
4E02DB8E8DFFE4B2AE02D5C466BD2CCE,has_country,989EEF92F2A525DD896557425EA7C4C7
4E02DB8E8DFFE4B2AE02D5C466BD2CCE,has_title,30A7DAAF928071F7E6C70A83F50964E3
D1DED4CD6B9C753BBAAA07D35439FBB5,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
D1DED4CD6B9C753BBAAA07D35439FBB5,has_category,E190EC16297AEC9837613F5F6E3A383D
D1DED4CD6B9C753BBAAA07D35439FBB5,has_country,989EEF92F2A525DD896557425EA7C4C7
D1DED4CD6B9C753BBAAA07D35439FBB5,has_title,858FB2BC3E1CA7926FDD763F83B0A8BE 30A7DAAF928071F7E6C70A83F50964E3 93B81C141F49A9CAF45883C6665E0286
78B04093E55F1A2BC97037379FCD0C39,has_brand,9E0EAAF455B7E51AE375D9CA77041CE4
78B04093E55F1A2BC97037379FCD0C39,has_category,E190EC16297AEC9837613F5F6E3A383D
78B04093E55F1A2BC97037379FCD0C39,has_country,989EEF92F2A525DD896557425EA7C4C7
